"TABLE_SCHEMA","TABLE_NAME","ColumnOrder","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","IS_NULLABLE"
"dbo","Canvases",1,"id","int",NA,10,0,"NO"
"dbo","Canvases",2,"canvas_name","nvarchar",200,NA,NA,"NO"
"dbo","Canvases",3,"width_px","int",NA,10,0,"NO"
"dbo","Canvases",4,"height_px","int",NA,10,0,"NO"
"dbo","Canvases",5,"bg_png_b64","nvarchar",-1,NA,NA,"NO"
"dbo","Canvases",6,"created_utc","datetime2",NA,NA,NA,"NO"
"dbo","Canvases",7,"updated_utc","datetime2",NA,NA,NA,"NO"
"dbo","Canvases",8,"AreaID","int",NA,10,0,"YES"
"dbo","CanvasLayouts",1,"LayoutID","int",NA,10,0,"NO"
"dbo","CanvasLayouts",2,"LayoutName","nvarchar",60,NA,NA,"NO"
"dbo","CanvasLayouts",3,"WidthUnits","int",NA,10,0,"NO"
"dbo","CanvasLayouts",4,"HeightUnits","int",NA,10,0,"NO"
"dbo","CanvasLayouts",5,"IsDefault","bit",NA,NA,NA,"NO"
"dbo","CanvasLayouts",6,"CreatedAt","datetime2",NA,NA,NA,"NO"
"dbo","CanvasLayouts",7,"UpdatedAt","datetime2",NA,NA,NA,"NO"
"dbo","CanvasLayouts",8,"CanvasID","int",NA,10,0,"YES"
"dbo","CanvasLayouts",9,"BackgroundRotation","decimal",NA,6,2,"YES"
"dbo","CanvasLayouts",10,"BackgroundPanX","decimal",NA,12,3,"YES"
"dbo","CanvasLayouts",11,"BackgroundPanY","decimal",NA,12,3,"YES"
"dbo","CanvasLayouts",12,"BackgroundZoom","decimal",NA,6,4,"YES"
"dbo","CanvasLayouts",13,"BackgroundScaleX","decimal",NA,6,4,"YES"
"dbo","CanvasLayouts",14,"BackgroundScaleY","decimal",NA,6,4,"YES"
"dbo","CanvasLayouts",15,"SiteID","int",NA,10,0,"YES"
"dbo","Commodities",1,"CommodityID","int",NA,10,0,"NO"
"dbo","Commodities",2,"CommodityCode","nvarchar",50,NA,NA,"NO"
"dbo","Commodities",3,"CommodityName","nvarchar",200,NA,NA,"NO"
